index,name
0,Africa/Abidjan
1,Africa/Accra
2,Africa/Addis_Ababa
3,Africa/Algiers
4,Africa/Asmara
5,Africa/Bamako
6,Africa/Bangui
7,Africa/Banjul
8,Africa/Bissau
9,Africa/Blantyre
10,Africa/Brazzaville
11,Africa/Bujumbura
12,Africa/Cairo
13,Africa/Casablanca
14,Africa/Ceuta
15,Africa/Conakry
16,Africa/Dakar
17,Africa/Dar_es_Salaam
18,Africa/Djibouti
19,Africa/Douala
20,Africa/El_Aaiun
21,Africa/Freetown
22,Africa/Gaborone
23,Africa/Harare
24,Africa/Johannesburg
25,Africa/Juba
26,Africa/Kampala
27,Africa/Khartoum
28,Africa/Kigali
29,Africa/Kinshasa
30,Africa/Lagos
31,Africa/Libreville
32,Africa/Lome
33,Africa/Luanda
34,Africa/Lubumbashi
35,Africa/Lusaka
36,Africa/Malabo
37,Africa/Maputo
38,Africa/Maseru
39,Africa/Mbabane
40,Africa/Mogadishu
41,Africa/Monrovia
42,Africa/Nairobi
43,Africa/Ndjamena
44,Africa/Niamey
45,Africa/Nouakchott
46,Africa/Ouagadougou
47,Africa/Porto-Novo
48,Africa/Sao_Tome
49,Africa/Tripoli
50,Africa/Tunis
51,Africa/Windhoek
52,America/Adak
53,America/Anchorage
54,America/Anguilla
55,America/Antigua
56,America/Araguaina
57,America/Argentina/Buenos_Aires
58,America/Argentina/Catamarca
59,America/Argentina/Cordoba
60,America/Argentina/Jujuy
61,America/Argentina/La_Rioja
62,America/Argentina/Mendoza
63,America/Argentina/Rio_Gallegos
64,America/Argentina/Salta
65,America/Argentina/San_Juan
66,America/Argentina/San_Luis
67,America/Argentina/Tucuman
68,America/Argentina/Ushuaia
69,America/Aruba
70,America/Asuncion
71,America/Atikokan
72,America/Bahia
73,America/Bahia_Banderas
74,America/Barbados
75,America/Belem
76,America/Belize
77,America/Blanc-Sablon
78,America/Boa_Vista
79,America/Bogota
80,America/Boise
81,America/Cambridge_Bay
82,America/Campo_Grande
83,America/Cancun
84,America/Caracas
85,America/Cayenne
86,America/Cayman
87,America/Chicago
88,America/Chihuahua
89,America/Costa_Rica
90,America/Creston
91,America/Cuiaba
92,America/Curacao
93,America/Danmarkshavn
94,America/Dawson
95,America/Dawson_Creek
96,America/Denver
97,America/Detroit
98,America/Dominica
99,America/Edmonton
100,America/Eirunepe
101,America/El_Salvador
102,America/Fortaleza
103,America/Fort_Nelson
104,America/Glace_Bay
105,America/Godthab
106,America/Goose_Bay
107,America/Grand_Turk
108,America/Grenada
109,America/Guadeloupe
110,America/Guatemala
111,America/Guayaquil
112,America/Guyana
113,America/Halifax
114,America/Havana
115,America/Hermosillo
116,America/Indiana/Indianapolis
117,America/Indiana/Knox
118,America/Indiana/Marengo
119,America/Indiana/Petersburg
120,America/Indiana/Tell_City
121,America/Indiana/Vevay
122,America/Indiana/Vincennes
123,America/Indiana/Winamac
124,America/Inuvik
125,America/Iqaluit
126,America/Jamaica
127,America/Juneau
128,America/Kentucky/Louisville
129,America/Kentucky/Monticello
130,America/Kralendijk
131,America/La_Paz
132,America/Lima
133,America/Los_Angeles
134,America/Lower_Princes
135,America/Maceio
136,America/Managua
137,America/Manaus
138,America/Marigot
139,America/Martinique
140,America/Matamoros
141,America/Mazatlan
142,America/Menominee
143,America/Merida
144,America/Metlakatla
145,America/Mexico_City
146,America/Miquelon
147,America/Moncton
148,America/Monterrey
149,America/Montevideo
150,America/Montreal
151,America/Montserrat
152,America/Nassau
153,America/New_York
154,America/Nipigon
155,America/Nome
156,America/Noronha
157,America/North_Dakota/Beulah
158,America/North_Dakota/Center
159,America/North_Dakota/New_Salem
160,America/Nuuk
161,America/Ojinaga
162,America/Panama
163,America/Pangnirtung
164,America/Paramaribo
165,America/Phoenix
166,America/Port-au-Prince
167,America/Port_of_Spain
168,America/Porto_Velho
169,America/Puerto_Rico
170,America/Punta_Arenas
171,America/Rainy_River
172,America/Rankin_Inlet
173,America/Recife
174,America/Regina
175,America/Resolute
176,America/Rio_Branco
177,America/Santarem
178,America/Santiago
179,America/Santo_Domingo
180,America/Sao_Paulo
181,America/Scoresbysund
182,America/Sitka
183,America/St_Barthelemy
184,America/St_Johns
185,America/St_Kitts
186,America/St_Lucia
187,America/St_Thomas
188,America/St_Vincent
189,America/Swift_Current
190,America/Tegucigalpa
191,America/Thule
192,America/Thunder_Bay
193,America/Tijuana
194,America/Toronto
195,America/Tortola
196,America/Vancouver
197,America/Whitehorse
198,America/Winnipeg
199,America/Yakutat
200,America/Yellowknife
201,Antarctica/Casey
202,Antarctica/Davis
203,Antarctica/DumontDUrville
204,Antarctica/Macquarie
205,Antarctica/Mawson
206,Antarctica/McMurdo
207,Antarctica/Palmer
208,Antarctica/Rothera
209,Antarctica/Syowa
210,Antarctica/Troll
211,Antarctica/Vostok
212,Arctic/Longyearbyen
213,Asia/Aden
214,Asia/Almaty
215,Asia/Amman
216,Asia/Anadyr
217,Asia/Aqtau
218,Asia/Aqtobe
219,Asia/Ashgabat
220,Asia/Atyrau
221,Asia/Baghdad
222,Asia/Bahrain
223,Asia/Baku
224,Asia/Bangkok
225,Asia/Barnaul
226,Asia/Beirut
227,Asia/Bishkek
228,Asia/Brunei
229,Asia/Chita
230,Asia/Choibalsan
231,Asia/Colombo
232,Asia/Damascus
233,Asia/Dhaka
234,Asia/Dili
235,Asia/Dubai
236,Asia/Dushanbe
237,Asia/Famagusta
238,Asia/Gaza
239,Asia/Hebron
240,Asia/Ho_Chi_Minh
241,Asia/Hong_Kong
242,Asia/Hovd
243,Asia/Irkutsk
244,Asia/Jakarta
245,Asia/Jayapura
246,Asia/Jerusalem
247,Asia/Kabul
248,Asia/Kamchatka
249,Asia/Karachi
250,Asia/Kathmandu
251,Asia/Khandyga
252,Asia/Kolkata
253,Asia/Krasnoyarsk
254,Asia/Kuala_Lumpur
255,Asia/Kuching
256,Asia/Kuwait
257,Asia/Macau
258,Asia/Magadan
259,Asia/Makassar
260,Asia/Manila
261,Asia/Muscat
262,Asia/Nicosia
263,Asia/Novokuznetsk
264,Asia/Novosibirsk
265,Asia/Omsk
266,Asia/Oral
267,Asia/Phnom_Penh
268,Asia/Pontianak
269,Asia/Pyongyang
270,Asia/Qatar
271,Asia/Qyzylorda
272,Asia/Riyadh
273,Asia/Sakhalin
274,Asia/Samarkand
275,Asia/Seoul
276,Asia/Shanghai
277,Asia/Singapore
278,Asia/Srednekolymsk
279,Asia/Taipei
280,Asia/Tashkent
281,Asia/Tbilisi
282,Asia/Tehran
283,Asia/Thimphu
284,Asia/Tokyo
285,Asia/Tomsk
286,Asia/Ulaanbaatar
287,Asia/Urumqi
288,Asia/Ust-Nera
289,Asia/Vientiane
290,Asia/Vladivostok
291,Asia/Yakutsk
292,Asia/Yangon
293,Asia/Yekaterinburg
294,Asia/Yerevan
295,Atlantic/Azores
296,Atlantic/Bermuda
297,Atlantic/Canary
298,Atlantic/Cape_Verde
299,Atlantic/Faroe
300,Atlantic/Madeira
301,Atlantic/Reykjavik
302,Atlantic/South_Georgia
303,Atlantic/Stanley
304,Atlantic/St_Helena
305,Australia/Adelaide
306,Australia/Brisbane
307,Australia/Broken_Hill
308,Australia/Currie
309,Australia/Darwin
310,Australia/Eucla
311,Australia/Hobart
312,Australia/Lindeman
313,Australia/Lord_Howe
314,Australia/Melbourne
315,Australia/Perth
316,Australia/Sydney
317,Europe/Amsterdam
318,Europe/Andorra
319,Europe/Astrakhan
320,Europe/Athens
321,Europe/Belgrade
322,Europe/Berlin
323,Europe/Bratislava
324,Europe/Brussels
325,Europe/Bucharest
326,Europe/Budapest
327,Europe/Busingen
328,Europe/Chisinau
329,Europe/Copenhagen
330,Europe/Dublin
331,Europe/Gibraltar
332,Europe/Guernsey
333,Europe/Helsinki
334,Europe/Isle_of_Man
335,Europe/Istanbul
336,Europe/Jersey
337,Europe/Kaliningrad
338,Europe/Kiev
339,Europe/Kirov
340,Europe/Lisbon
341,Europe/Ljubljana
342,Europe/London
343,Europe/Luxembourg
344,Europe/Madrid
345,Europe/Malta
346,Europe/Mariehamn
347,Europe/Minsk
348,Europe/Monaco
349,Europe/Moscow
350,Europe/Oslo
351,Europe/Paris
352,Europe/Podgorica
353,Europe/Prague
354,Europe/Riga
355,Europe/Rome
356,Europe/Samara
357,Europe/San_Marino
358,Europe/Sarajevo
359,Europe/Saratov
360,Europe/Simferopol
361,Europe/Skopje
362,Europe/Sofia
363,Europe/Stockholm
364,Europe/Tallinn
365,Europe/Tirane
366,Europe/Ulyanovsk
367,Europe/Uzhgorod
368,Europe/Vaduz
369,Europe/Vatican
370,Europe/Vienna
371,Europe/Vilnius
372,Europe/Volgograd
373,Europe/Warsaw
374,Europe/Zagreb
375,Europe/Zaporozhye
376,Europe/Zurich
377,Indian/Antananarivo
378,Indian/Chagos
379,Indian/Christmas
380,Indian/Cocos
381,Indian/Comoro
382,Indian/Kerguelen
383,Indian/Mahe
384,Indian/Maldives
385,Indian/Mauritius
386,Indian/Mayotte
387,Indian/Reunion
388,Pacific/Apia
389,Pacific/Auckland
390,Pacific/Bougainville
391,Pacific/Chatham
392,Pacific/Chuuk
393,Pacific/Easter
394,Pacific/Efate
395,Pacific/Enderbury
396,Pacific/Fakaofo
397,Pacific/Fiji
398,Pacific/Funafuti
399,Pacific/Galapagos
400,Pacific/Gambier
401,Pacific/Guadalcanal
402,Pacific/Guam
403,Pacific/Honolulu
404,Pacific/Kiritimati
405,Pacific/Kosrae
406,Pacific/Kwajalein
407,Pacific/Majuro
408,Pacific/Marquesas
409,Pacific/Midway
410,Pacific/Nauru
411,Pacific/Niue
412,Pacific/Norfolk
413,Pacific/Noumea
414,Pacific/Pago_Pago
415,Pacific/Palau
416,Pacific/Pitcairn
417,Pacific/Pohnpei
418,Pacific/Port_Moresby
419,Pacific/Rarotonga
420,Pacific/Saipan
421,Pacific/Tahiti
422,Pacific/Tarawa
423,Pacific/Tongatapu
424,Pacific/Wake
425,Pacific/Wallis
426,Etc/GMT
427,Etc/GMT-0
428,Etc/GMT-1
429,Etc/GMT-2
430,Etc/GMT-3
431,Etc/GMT-4
432,Etc/GMT-5
433,Etc/GMT-6
434,Etc/GMT-7
435,Etc/GMT-8
436,Etc/GMT-9
437,Etc/GMT-10
438,Etc/GMT-11
439,Etc/GMT-12
440,Etc/GMT-13
441,Etc/GMT-14
442,Etc/GMT0
443,Etc/GMT+0
444,Etc/GMT+1
445,Etc/GMT+2
446,Etc/GMT+3
447,Etc/GMT+4
448,Etc/GMT+5
449,Etc/GMT+6
450,Etc/GMT+7
451,Etc/GMT+8
452,Etc/GMT+9
453,Etc/GMT+10
454,Etc/GMT+11
455,Etc/GMT+12
456,Etc/UCT
457,Etc/UTC
458,Etc/Greenwich
459,Etc/Universal
460,Etc/Zulu
